Sanity checks (N: expected (s,r) → got (s,r)):
  N=3: expected (2, 5) → got (2, 5) ✅
  N=5: expected (1, 3) → got (1, 4) ❌
  N=7: expected (5, 11) → got (5, 11) ✅
  N=27: expected (41, 70) → got (41, 70) ✅
Verifying N = 2 to 1,000,000,000
Progress (every 500,000 pairs):

  N=  27,500,000  |  same-T: 13,854,176  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  28,000,000  |  same-T: 14,108,985  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  28,500,000  |  same-T: 14,365,409  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  29,000,000  |  same-T: 14,622,069  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  29,500,000  |  same-T: 14,875,969  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  30,000,000  |  same-T: 15,133,057  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  30,500,000  |  same-T: 15,388,717  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  31,000,000  |  same-T: 15,643,543  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  31,500,000  |  same-T: 15,898,765  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  32,000,000  |  same-T: 16,155,489  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  32,500,000  |  same-T: 16,410,518  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  33,000,000  |  same-T: 16,665,330  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  33,500,000  |  same-T: 16,923,148  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  34,000,000  |  same-T: 17,180,354  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  34,500,000  |  same-T: 17,435,868  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  35,000,000  |  same-T: 17,690,925  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  35,500,000  |  same-T: 17,948,032  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
