N,Same-T
200000000,103352740
200500000,103614179
201000000,103880689
201500000,104142116
202000000,104400454
202500000,104662398
203000000,104922138
203500000,105184917
204000000,105446362
204500000,105705561
205000000,105963475
205500000,106224451
206000000,106490667
206500000,106752856
207000000,107012816
207500000,107272860
208000000,107531671
208500000,107790216
209000000,108055103
209500000,108319171
210000000,108581555
210500000,108842007
211000000,109101990
211500000,109367055
212000000,109634461
212500000,109895610
213000000,110155645
213500000,110416939
214000000,110679684
214500000,110943050
215000000,111206252
215500000,111465011
216000000,111725037
216500000,111984363
217000000,112251319
217500000,112512663
218000000,112771554
218500000,113030669
219000000,113290737
219500000,113548995
220000000,113812815
220500000,114077379
221000000,114336766
221500000,114599312
222000000,114858063
222500000,115119503
223000000,115385167
223500000,115650645
224000000,115911118
224500000,116173158
225000000,116435804
225500000,116698043
226000000,116963243
226500000,117226340
227000000,117484474
227500000,117743806
228000000,118004374
228500000,118267096
229000000,118530057
229500000,118790205
230000000,119050503
230500000,119308046
231000000,119570475
231500000,119830035
232000000,120097090
232500000,120359199
233000000,120619933
233500000,120879876
234000000,121139389
234500000,121398002
235000000,121663281
235500000,121929123
236000000,122189316
236500000,122452577
237000000,122714349
237500000,122977146
238000000,123243807
238500000,123508683
239000000,123770055
239500000,124028331
240000000,124293151
240500000,124552735
241000000,124816728
241500000,125078888
242000000,125340864
242500000,125600749
243000000,125860035
243500000,126120091
244000000,126383527
244500000,126650868
245000000,126910675
245500000,127171973
246000000,127430279
246500000,127690484
247000000,127948348
247500000,128213326
248000000,128478426
248500000,128739783
249000000,129003264
249500000,129262489
250000000,129523483
250500000,129786652
251000000,130053116
251500000,130318900
252000000,130579840
252500000,130841316
253000000,131104453
253500000,131365635
254000000,131628116
254500000,131894850
255000000,132156564
255500000,132416455
256000000,132676111
256500000,132936134
257000000,133199284
257500000,133464913
258000000,133724429
258500000,133984616
259000000,134245200
259500000,134504001
260000000,134765085
260500000,135025490
261000000,135292970
261500000,135556686
262000000,135817590
262500000,136078940
263000000,136336902
263500000,136597449
264000000,136859453
264500000,137126545
265000000,137392069
265500000,137653162
266000000,137916471
266500000,138179459
267000000,138441332
267500000,138704283
268000000,138973689
268500000,139237748
269000000,139497130
269500000,139756233
270000000,140020058
270500000,140279601
271000000,140545614
271500000,140806333
272000000,141068515
272500000,141330223
273000000,141589672
273500000,141850658
274000000,142109007
274500000,142372514
275000000,142640886
275500000,142903455
276000000,143163283
276500000,143423972
277000000,143681556
277500000,143943516
278000000,144202811
278500000,144468005
279000000,144734768
279500000,144995970
280000000,145260154
280500000,145523618
281000000,145781745
281500000,146045740
282000000,146310555
282500000,146578405
283000000,146842742
283500000,147104212
284000000,147365777
284500000,147630461
285000000,147890869
285500000,148154902
286000000,148418830
286500000,148682783
287000000,148944049
287500000,149204599
288000000,149464075
288500000,149725426
289000000,149988679
289500000,150255467
290000000,150517417
290500000,150777584
291000000,151039035
291500000,151298821
292000000,151558578
292500000,151817671
293000000,152077483
293500000,152344558
294000000,152610162
294500000,152871366
295000000,153135048
295500000,153395703
296000000,153654093
296500000,153917044
297000000,154178553
297500000,154445465
298000000,154713817
298500000,154974562
299000000,155236985
299500000,155503026
300000000,155763527
300500000,156024591
301000000,156288309
301500000,156557155
302000000,156821337
302500000,157081590
303000000,157339845
303500000,157603189
304000000,157862567
304500000,158125761
305000000,158391310
305500000,158652709
306000000,158914240
306500000,159175487
307000000,159436128
307500000,159693189
308000000,159957992
308500000,160218657
309000000,160486042
309500000,160750731
310000000,161012702
310500000,161273872
311000000,161535493
311500000,161793032
312000000,162056077
312500000,162317286
313000000,162578388
313500000,162846099
314000000,163112515
314500000,163374278
315000000,163638727
315500000,163903523
316000000,164162345
316500000,164424047
317000000,164688605
317500000,164958539
318000000,165223655
318500000,165485611
319000000,165745838
319500000,166006835
320000000,166272883
320500000,166531373
321000000,166796235
321500000,167058443
322000000,167323548
322500000,167587803
323000000,167848800
323500000,168109699
324000000,168368959
324500000,168631668
325000000,168893264
325500000,169162791
326000000,169426042
326500000,169687474
327000000,169946960
327500000,170209339
328000000,170468487
328500000,170729372
329000000,170989118
329500000,171248802
330000000,171515722
330500000,171782656
331000000,172046178
331500000,172305627
332000000,172571275
332500000,172833684
333000000,173092727
333500000,173354548
334000000,173619426
334500000,173888555
335000000,174154982
335500000,174418962
336000000,174680398
336500000,174943100
337000000,175209247
337500000,175469918
338000000,175730895
338500000,175994283
339000000,176263044
339500000,176527421
340000000,176789040
340500000,177049362
341000000,177308820
341500000,177572928
342000000,177832625
342500000,178095896
343000000,178365035
343500000,178625812
344000000,178886466
344500000,179147907
345000000,179409597
345500000,179670628
346000000,179929152
346500000,180192071
347000000,180451201
347500000,180716963
348000000,180983937
348500000,181247885
349000000,181510681
349500000,181773287
350000000,182035203
350500000,182292855
351000000,182556630
351500000,182817375
352000000,183079092
352500000,183346963
353000000,183616089
353500000,183879632
354000000,184140451
354500000,184405720
355000000,184671442
355500000,184931003
356000000,185193454
356500000,185457009
357000000,185727339
357500000,185992675
358000000,186257777
358500000,186519286
359000000,186778919
359500000,187038990
360000000,187304595
360500000,187564188
361000000,187827834
361500000,188094927
362000000,188357138
362500000,188619848
363000000,188882638
363500000,189143652
364000000,189405214
